S,0,1,2,3,4,5,6,7,8,9,10
254,0,1,2,3,3,4,4,4,4,3,4
255,0,1,1,3,3,4,4,4,4,4,3
256,0,1,1,3,4,4,4,4,3,3,3
257,0,1,1,1,2,2,2,3,3,2,1
258,0,1,2,2,2,2,4,3,3,3,2
259,0,1,1,2,2,3,3,3,4,3,3
260,0,1,1,1,1,2,3,3,2,3,1
261,0,1,1,1,1,3,3,4,4,3,3
262,0,1,1,1,2,3,4,4,4,4,3
263,0,1,1,2,3,4,4,3,3,2,2
264,0,1,1,2,3,3,4,3,4,3,3
265,0,1,2,2,3,3,4,4,3,3,3
266,0,1,1,3,3,3,4,3,3,3,3
267,0,1,1,2,3,3,4,4,4,4,4
268,0,1,2,2,2,3,3,4,4,4,4
269,0,1,1,1,1,2,3,2,1,1,1
270,0,1,1,2,3,3,2,2,2,2,3
271,0,1,2,3,3,4,4,4,4,4,4
272,0,1,1,1,2,3,3,3,2,2,2
273,0,1,1,2,3,3,4,3,3,3,3
274,0,1,1,2,3,4,4,4,4,4,4
275,0,1,2,3,4,4,5,5,5,5,5
276,0,1,1,3,3,4,4,4,4,3,3
277,0,1,1,2,3,4,4,4,4,4,3
278,0,1,2,3,4,4,5,5,5,4,4
279,0,1,1,1,2,3,3,2,2,1,1
280,0,1,3,4,4,5,5,5,5,5,4
281,0,1,1,2,3,3,4,4,4,4,4
282,0,1,1,2,3,2,3,3,2,2,2
283,0,1,1,2,3,3,4,3,4,4,3
284,0,1,1,2,3,4,4,5,5,5,5
285,0,1,1,3,4,4,5,5,5,5,5
286,0,1,1,1,2,3,3,3,3,2,3
287,0,1,1,2,3,4,4,4,4,4,4
288,0,1,1,3,3,4,4,4,4,4,3
289,0,1,1,3,3,3,3,3,3,3,2
290,0,1,1,2,1,2,2,2,2,2,2
291,0,1,1,2,3,4,5,5,4,4,4
292,0,1,2,4,4,4,5,5,5,4,4
293,0,1,1,3,4,4,5,5,4,5,4
294,0,1,1,2,3,3,4,4,4,3,2
295,0,1,1,1,2,2,3,3,3,3,3
296,0,1,1,2,3,3,3,3,2,2,2
297,0,1,1,2,3,3,4,4,4,4,4
298,0,1,1,3,4,4,4,4,4,4,3
299,0,1,0,1,1,1,2,2,3,2,2
300,0,1,2,3,4,4,5,5,4,4,4
301,0,1,1,2,2,3,4,3,3,3,2
302,0,1,1,1,2,2,3,2,2,1,1
303,0,1,1,2,1,3,4,3,3,3,3
304,0,1,1,2,4,3,3,3,3,3,2
305,0,1,1,1,2,2,2,2,2,1,1
306,0,1,2,2,2,3,3,4,3,3,3
307,0,1,1,1,2,2,4,4,4,3,3
308,0,1,2,3,3,3,4,4,3,4,4
309,0,1,1,3,3,4,4,2,3,2,1
310,0,1,1,2,3,3,3,3,2,3,3
311,0,1,1,2,4,4,4,4,4,4,4
312,0,1,1,1,1,2,3,3,3,3,3
313,0,1,0,1,2,3,3,3,3,2,3
314,0,1,1,2,2,3,3,3,3,2,2
315,0,1,1,2,3,3,4,4,4,3,3
316,0,1,1,2,2,3,3,3,4,3,3
317,0,1,1,2,2,2,3,3,2,2,2
318,0,1,1,2,1,2,3,3,3,2,1
319,0,1,1,3,4,4,4,4,5,4,4
320,0,1,1,1,2,2,3,3,3,3,2
321,0,1,2,3,4,4,4,5,5,4,4
322,0,1,2,3,4,5,5,5,5,5,5
323,0,1,3,3,4,4,5,4,3,2,2
324,0,1,2,2,4,4,4,4,4,3,3
325,0,1,1,3,3,4,4,3,3,3,2
326,0,1,2,2,4,4,4,4,3,3,3
327,0,1,1,3,3,4,4,4,3,3,3
328,0,1,1,2,2,1,2,2,2,2,2
329,0,1,1,1,1,2,3,2,2,2,1
330,0,1,2,3,4,4,4,3,3,3,2
331,0,1,1,1,2,3,3,3,2,2,2
332,0,1,1,1,3,4,5,4,4,3,3
333,0,1,1,1,1,2,2,1,1,1,0
334,0,1,1,1,1,2,3,2,2,1,1
335,0,1,1,3,4,5,5,5,5,5,5
336,0,1,1,2,2,3,3,3,2,1,1
337,0,1,1,2,2,3,3,3,3,2,1
338,0,1,1,1,2,2,3,3,3,2,2
339,0,1,1,3,4,4,5,5,5,5,5
340,0,1,1,1,2,2,3,3,2,2,2
341,0,1,1,3,3,3,3,4,4,4,2
342,0,1,2,3,4,4,4,4,4,4,3
343,0,1,1,2,2,2,3,3,3,3,3
344,0,1,1,2,3,2,3,4,4,3,3
345,0,1,2,3,3,4,4,3,3,3,3
346,0,1,1,3,4,5,5,5,5,4,4
347,0,1,1,2,2,2,3,3,3,2,1
348,0,1,1,1,1,2,2,1,1,1,1
349,0,1,1,3,3,3,3,3,3,3,2
350,0,1,1,2,2,1,1,1,1,0,0
351,0,1,2,4,5,5,5,5,5,5,5
352,0,1,1,2,3,3,4,3,4,3,3
353,0,1,2,2,3,3,4,4,3,3,3
354,0,1,1,2,3,4,5,4,4,4,4
355,0,1,1,1,2,3,3,3,2,1,1
356,0,1,1,2,3,3,4,4,5,4,4
357,0,1,1,2,4,4,4,4,4,4,4
358,0,1,1,2,3,3,4,4,4,2,2
359,0,1,1,1,3,3,4,4,4,3,3
360,0,1,1,3,4,4,4,4,4,3,2
361,0,1,2,2,3,4,4,3,3,3,2
362,0,1,1,1,2,1,2,1,1,1,1
363,0,1,1,2,3,4,4,5,5,5,4
364,0,1,1,1,2,3,3,3,3,3,3
365,0,1,1,1,3,4,4,4,4,4,3
366,0,1,1,1,2,3,4,4,4,3,3
367,0,1,1,2,3,4,4,4,3,3,2
368,0,1,1,2,3,3,4,4,4,4,3
369,0,1,1,2,3,3,4,4,4,4,4
370,0,1,1,2,2,3,3,2,2,1,1
371,0,1,1,3,3,4,4,4,4,3,2
372,0,1,2,3,3,4,4,4,4,3,3
373,0,1,1,1,2,2,1,1,1,0,1
374,0,1,1,2,3,4,4,4,4,3,2
375,0,1,1,2,3,4,4,4,5,4,4
376,0,1,2,3,4,4,4,4,3,3,3
377,0,1,1,3,3,3,4,4,4,3,2
378,0,1,1,2,2,3,3,3,3,4,3
379,0,1,3,3,4,4,4,4,4,4,3
380,0,1,1,1,2,2,3,3,3,3,3
381,0,1,1,2,3,3,4,3,2,2,1
382,0,1,2,3,4,4,4,4,4,3,2
383,0,1,1,1,1,3,3,2,3,3,3
384,0,1,1,3,4,4,4,4,3,3,3
385,0,1,1,2,3,4,4,4,4,4,3
386,0,1,1,3,4,5,5,5,5,5,4
387,0,1,2,3,3,4,4,4,3,3,3
388,0,1,2,3,3,3,3,3,3,3,2
389,0,1,2,2,3,4,5,5,4,4,4
390,0,1,1,2,3,4,4,4,3,3,3
391,0,1,2,3,3,4,4,4,4,4,3
392,0,1,1,1,1,2,3,2,2,2,1
393,0,1,2,3,4,4,4,5,5,4,4
394,0,1,1,2,3,4,4,4,4,4,3
395,0,1,3,3,4,5,5,5,5,5,4
396,0,1,2,3,3,4,4,4,3,3,3
397,0,1,1,2,3,4,4,4,4,3,2
398,0,1,1,2,2,2,3,2,2,2,3
399,0,1,1,2,2,3,4,4,3,3,3
400,0,1,1,3,3,4,4,3,3,3,3
401,0,1,3,4,5,5,5,5,5,4,4
402,0,1,1,3,4,5,5,5,5,5,5
403,0,1,2,3,3,4,4,4,4,4,5
404,0,1,1,2,2,3,4,3,3,2,2
405,0,1,1,2,3,3,3,3,3,3,2
406,0,1,1,3,3,4,4,4,4,4,4
407,0,1,1,1,2,2,3,3,3,3,3
408,0,1,1,3,4,4,4,4,4,4,3
409,0,1,1,2,3,3,4,4,4,3,3
410,0,1,3,3,4,4,4,4,3,3,2
411,0,1,1,1,1,2,2,3,3,3,3
412,0,1,1,3,3,4,4,4,4,3,3
413,0,1,1,2,3,3,4,4,5,4,4
414,0,1,1,1,3,4,4,4,4,4,4
415,0,1,2,3,4,4,4,3,3,2,1
416,0,1,1,2,3,3,3,2,1,1,1
417,0,1,1,2,2,3,3,3,1,1,1
418,0,1,2,2,3,4,4,3,3,2,1
419,0,1,1,2,3,4,4,5,4,3,2
420,0,1,1,2,3,4,4,4,4,2,2
421,0,1,1,3,3,3,4,4,4,4,4
422,0,1,1,2,3,3,4,4,4,3,3
423,0,1,2,3,3,3,4,4,4,4,4
424,0,1,1,1,2,3,2,3,3,3,2
425,0,1,1,3,4,4,4,4,4,4,3
426,0,1,2,2,3,4,5,5,5,4,4
427,0,1,1,2,2,3,4,4,3,3,2
428,0,1,1,2,3,3,3,3,3,3,2
429,0,1,1,2,3,3,3,3,4,3,3
430,0,1,1,1,2,2,2,2,2,2,1
431,0,1,1,2,3,3,4,4,4,3,4
432,0,1,2,3,4,3,4,4,4,3,4
433,0,1,1,2,2,3,3,3,3,3,3
434,0,1,1,2,2,2,3,2,2,1,2
435,0,1,1,2,3,3,4,4,4,4,4
436,0,1,1,2,2,3,3,3,3,3,3
437,0,1,1,1,2,3,3,3,3,3,3
438,0,1,1,1,1,2,2,2,2,2,1
439,0,1,1,3,3,5,4,4,5,4,4
440,0,1,2,3,4,4,5,5,5,5,4
441,0,1,1,2,3,4,4,4,4,3,3
442,0,1,1,3,2,3,3,3,3,3,3
443,0,1,1,1,3,3,3,3,3,3,3
444,0,1,1,2,3,4,5,4,5,5,4
445,0,1,1,1,2,1,2,2,1,1,1
446,0,1,1,3,3,3,4,4,4,4,3
447,0,1,1,3,3,4,5,5,5,4,4
448,0,1,2,3,3,3,4,3,3,2,1
449,0,1,1,3,2,4,4,3,4,4,4
450,0,1,2,2,2,2,2,3,3,2,2
451,0,1,1,2,2,3,4,3,3,3,2
452,0,1,1,3,4,5,5,5,5,5,4
453,0,1,1,2,2,2,3,2,2,2,2
454,0,1,1,2,2,3,4,3,3,3,3
455,0,1,2,3,3,5,5,5,5,4,3
456,0,1,1,2,3,3,4,4,4,4,4
457,0,1,1,2,3,4,4,4,3,2,2
458,0,1,1,1,3,4,3,3,2,2,2
459,0,1,2,3,3,3,4,3,2,2,2
460,0,1,2,3,4,3,4,4,4,3,3
461,0,1,1,3,4,4,4,4,5,4,4
462,0,1,1,2,3,3,4,3,3,3,3
463,0,1,1,1,2,3,3,3,2,2,2
464,0,1,1,2,3,4,4,4,4,4,4
465,0,1,1,2,3,3,4,4,4,3,3
466,0,1,1,2,3,3,4,4,4,3,3
467,0,1,1,2,2,2,2,1,1,1,0
468,0,1,1,1,2,3,3,3,2,2,1
469,0,1,1,1,2,3,3,2,2,1,1
470,0,1,1,2,3,3,4,4,4,3,3
471,0,1,1,3,4,4,4,4,4,4,3
472,0,1,2,3,4,5,5,5,4,4,4
473,0,1,1,2,3,3,4,4,4,3,3
474,0,1,1,2,3,3,4,3,4,3,2
475,0,1,2,3,4,4,4,4,4,3,3
476,0,1,1,1,2,2,3,3,3,2,2
477,0,1,1,1,2,3,3,4,3,3,1
478,0,1,1,3,3,3,3,3,3,3,2
479,0,1,1,3,3,3,4,4,3,2,2
480,0,1,2,3,3,3,4,3,3,3,3
481,0,1,1,2,2,3,4,4,3,3,3
482,0,1,2,3,2,2,3,2,1,1,1
483,0,1,1,2,3,3,3,3,3,3,2
484,0,1,1,2,3,3,4,4,3,2,2
485,0,1,1,1,3,3,4,3,3,3,2
486,0,1,2,3,3,4,4,4,4,3,3
487,0,1,1,2,1,2,3,3,2,1,1
488,0,1,1,3,3,4,4,4,4,4,4
489,0,1,3,4,4,4,5,4,4,3,4
490,0,1,1,1,2,1,2,2,2,1,1
491,0,1,1,2,3,3,4,4,4,4,3
492,0,1,1,2,3,3,3,3,3,3,4
493,0,1,1,3,4,4,4,4,4,3,2
494,0,1,1,3,4,4,4,5,4,4,3
495,0,1,1,2,2,2,3,3,2,2,2
496,0,1,2,3,3,3,3,3,3,2,2
497,0,1,2,3,4,4,4,4,4,4,3
498,0,1,1,1,2,2,2,2,1,0,1
499,0,1,1,3,4,4,4,3,2,2,2
500,0,1,2,4,4,4,4,4,4,4,4
501,0,1,2,3,3,3,4,3,3,3,3
502,0,1,1,3,4,4,4,4,3,4,4
503,0,1,1,1,3,3,3,3,3,3,2
504,0,1,1,2,2,3,3,2,1,0,0
505,0,1,3,4,4,4,4,3,2,2,1
506,0,1,1,1,1,3,4,4,3,3,2
507,0,1,1,1,2,2,2,2,2,1,1
508,0,1,3,4,4,5,5,5,5,5,4
509,0,1,1,3,4,4,4,4,4,4,4
510,0,1,1,3,3,3,4,3,3,3,3
511,0,1,1,2,3,3,4,4,4,4,3
512,0,1,2,3,4,4,4,4,4,3,2
513,0,1,1,2,2,3,3,4,3,3,2
514,0,1,1,2,3,4,4,4,4,3,3
515,0,1,2,2,3,4,5,5,4,4,4
516,0,1,1,3,3,3,4,4,4,3,2
517,0,1,2,2,2,3,4,4,3,3,3
518,0,1,1,1,2,3,4,3,2,2,2
519,0,1,1,2,2,2,3,3,3,3,3
520,0,1,1,2,4,4,5,5,4,4,4
521,0,1,1,3,3,4,4,4,4,3,3
522,0,1,2,3,3,4,4,4,4,4,4
523,0,1,1,3,4,4,4,4,4,4,4
524,0,1,2,3,3,4,4,4,4,4,4
525,0,1,1,2,2,4,4,4,3,2,2
526,0,1,1,1,2,3,3,4,4,4,4
527,0,1,1,1,1,2,2,2,1,1,1
528,0,1,1,3,4,4,4,4,3,3,3
529,0,1,2,3,4,3,4,3,3,3,3
530,0,1,1,2,4,4,5,5,5,5,5
531,0,1,1,2,2,2,3,2,1,1,2
532,0,1,1,1,3,2,3,2,2,1,1
533,0,1,1,1,1,1,1,1,1,1,1
534,0,1,1,1,2,3,3,4,4,3,3
535,0,1,1,1,1,2,2,3,3,2,2
536,0,1,1,2,3,3,2,2,2,1,2
537,0,1,1,2,3,3,4,4,3,3,1
538,0,1,1,2,3,4,4,4,4,4,4
539,0,1,1,2,2,3,4,4,4,3,3
540,0,1,1,2,3,3,4,3,3,3,2
541,0,1,1,2,2,3,3,2,3,3,2
542,0,1,2,3,4,4,5,5,4,3,3
543,0,1,1,3,3,3,3,4,3,3,3
544,0,1,1,2,3,4,4,4,3,3,1
545,0,1,2,3,4,3,3,2,2,1,1
546,0,1,2,3,4,4,5,5,5,4,4
547,0,1,2,2,4,4,4,4,3,4,3
548,0,1,1,1,1,3,3,3,3,2,2
549,0,1,1,3,3,4,4,4,3,3,3
550,0,1,1,2,2,3,4,4,3,3,3
551,0,1,2,2,3,3,3,3,2,2,1
552,0,1,1,2,3,2,3,3,3,3,2
553,0,1,1,1,2,2,3,3,3,3,2
554,0,1,1,2,2,4,4,4,3,3,2
555,0,1,1,1,1,1,2,2,2,2,1
556,0,1,2,3,4,4,5,4,5,5,4
557,0,1,2,3,3,4,5,4,4,4,4
558,0,1,1,2,2,3,3,3,3,3,3
559,0,1,1,1,2,1,2,2,2,1,1
560,0,1,1,2,3,4,4,4,4,4,4
561,0,1,1,1,2,3,3,3,2,2,1
562,0,1,2,3,4,3,3,3,2,2,1
563,0,1,2,2,3,3,3,3,3,2,2
564,0,1,1,2,3,4,5,4,4,3,3
565,0,1,1,3,4,4,5,5,4,4,4
566,0,1,1,2,3,3,4,4,4,3,3
567,0,1,2,3,4,4,4,4,4,4,4
568,0,1,1,3,4,4,4,4,4,3,3
569,0,1,1,2,3,3,4,4,4,4,3
570,0,1,1,1,3,3,4,3,3,2,2
571,0,1,1,1,3,3,3,4,4,3,3
572,0,1,1,2,3,4,4,3,4,3,2
573,0,1,1,3,3,4,5,5,5,5,4
574,0,1,2,4,4,4,4,4,4,3,4
575,0,1,1,2,4,4,4,4,4,4,4
576,0,1,2,3,4,4,4,3,4,3,3
577,0,1,1,1,1,2,2,2,1,0,0
578,0,1,2,3,4,4,5,5,4,4,4
579,0,1,1,1,2,3,3,4,4,4,4
580,0,1,2,4,4,4,4,4,4,3,3
